City;Edition;Sport;Discipline;NOC;Gender;Event;Event_gender;Medal
Sydney;2000;Aquatics;Diving;RUS;Men;10m platform;M;Bronze
Sydney;2000;Aquatics;Diving;CHN;Men;10m platform;M;Gold
Sydney;2000;Aquatics;Diving;CHN;Men;10m platform;M;Silver
Sydney;2000;Aquatics;Diving;CAN;Women;10m platform;W;Bronze
Sydney;2000;Aquatics;Diving;USA;Women;10m platform;W;Gold
Sydney;2000;Aquatics;Diving;CHN;Women;10m platform;W;Silver
Sydney;2000;Aquatics;Diving;RUS;Men;3m springboard;M;Bronze
Sydney;2000;Aquatics;Diving;CHN;Men;3m springboard;M;Gold
Sydney;2000;Aquatics;Diving;MEX;Men;3m springboard;M;Silver
Sydney;2000;Aquatics;Diving;GER;Women;3m springboard;W;Bronze
Sydney;2000;Aquatics;Diving;CHN;Women;3m springboard;W;Gold
Sydney;2000;Aquatics;Diving;CHN;Women;3m springboard;W;Silver
Sydney;2000;Aquatics;Diving;GER;Men;synchronized diving 10m platform;M;Bronze
Sydney;2000;Aquatics;Diving;GER;Men;synchronized diving 10m platform;M;Bronze
Sydney;2000;Aquatics;Diving;RUS;Men;synchronized diving 10m platform;M;Gold
Sydney;2000;Aquatics;Diving;RUS;Men;synchronized diving 10m platform;M;Gold
Sydney;2000;Aquatics;Diving;CHN;Men;synchronized diving 10m platform;M;Silver
Sydney;2000;Aquatics;Diving;CHN;Men;synchronized diving 10m platform;M;Silver
Sydney;2000;Aquatics;Diving;AUS;Women;synchronized diving 10m platform;W;Bronze
Sydney;2000;Aquatics;Diving;AUS;Women;synchronized diving 10m platform;W;Bronze
Sydney;2000;Aquatics;Diving;CHN;Women;synchronized diving 10m platform;W;Gold
Sydney;2000;Aquatics;Diving;CHN;Women;synchronized diving 10m platform;W;Gold
Sydney;2000;Aquatics;Diving;CAN;Women;synchronized diving 10m platform;W;Silver
Sydney;2000;Aquatics;Diving;CAN;Women;synchronized diving 10m platform;W;Silver
Sydney;2000;Aquatics;Diving;AUS;Men;synchronized diving 3m springboard;M;Bronze
Sydney;2000;Aquatics;Diving;AUS;Men;synchronized diving 3m springboard;M;Bronze
Sydney;2000;Aquatics;Diving;CHN;Men;synchronized diving 3m springboard;M;Gold
Sydney;2000;Aquatics;Diving;CHN;Men;synchronized diving 3m springboard;M;Gold
Sydney;2000;Aquatics;Diving;RUS;Men;synchronized diving 3m springboard;M;Silver
Sydney;2000;Aquatics;Diving;RUS;Men;synchronized diving 3m springboard;M;Silver
Sydney;2000;Aquatics;Diving;UKR;Women;synchronized diving 3m springboard;W;Bronze
Sydney;2000;Aquatics;Diving;UKR;Women;synchronized diving 3m springboard;W;Bronze
Sydney;2000;Aquatics;Diving;RUS;Women;synchronized diving 3m springboard;W;Gold
Sydney;2000;Aquatics;Diving;RUS;Women;synchronized diving 3m springboard;W;Gold
Sydney;2000;Aquatics;Diving;CHN;Women;synchronized diving 3m springboard;W;Silver
Sydney;2000;Aquatics;Diving;CHN;Women;synchronized diving 3m springboard;W;Silver
Sydney;2000;Aquatics;Swimming;GER;Men;100m backstroke;M;Bronze
Sydney;2000;Aquatics;Swimming;USA;Men;100m backstroke;M;Gold
