Vintage,Country,Designation,Points,Price,Province,Winery
1929,Italy,Prugneto,84,15 ,Central Italy,Poderi dal Nespoli 1929
1945,France,Legend Vintage,95,350 ,Southern France,Gérard Bertrand
1989,France,Diamant Bleu,91,70 ,Northeastern France ,Heidsieck & Co Monopole
1990,France,Dom Pérignon Rosé,90,290 ,Northeastern France ,Moët & Chandon
1994,Italy,Riserva,93,140 ,Central Italy,Fattoria di Grignano
1995,France,Premier Cru Blanc de Blancs Brut,89,48 ,Northeastern France ,De Saint Gall
1995,France,Grande Cru Brut,90,60 ,Northeastern France ,Soutiran
1995,Italy,Riserva,84,56 ,Central Italy,Poggio Antico
1996,Italy,Riserva,84,18 ,Central Italy,Querceto
1996,France,Cuvée Femme Brut,95,120 ,Northeastern France ,Duval Leroy
1996,Italy,Riserva,83,26 ,Central Italy,Castellare
1996,Italy,Dino Nero Spumante,90,36 ,Northwestern Italy,Bruno Giacosa
1997,Italy,Morar,91,50 ,Northeastern Italy,Valentina Cubi
1997,France,Les Blanchots,92,85 ,Northeastern France ,Domaine Laroche
1997,Italy,Montepaone,89,45 ,Central Italy,Castello di Montepò
1997,Italy,Querciolo Riserva,84,22 ,Central Italy,Podere La Cappella
1997,Italy,Selvamaggio,88,27 ,Central Italy,Villa La Selva
1997,Italy,Brut Riserva,85,28 ,Northwestern Italy,Cornaleto
1997,France,Palmes d Or,91,120 ,Northeastern France ,Nicolas Feuillatte
1997,Italy,Greppone Mazzi,90,60 ,Central Italy,Ruffino
1998,France,Prestige des Gibelins,88,15 ,Central France ,Château Mas Neuf
1998,France,Dom Ruinart Brut Rosé,95,275 ,Northeastern France ,Ruinart
1998,France,Diamant Rosé Brut,86,160 ,Northeastern France ,Vranken
1998,Italy,Le Marze,89,40 ,Central Italy,Elisabetta
1998,Italy,I Sodi del Paretaio,83,11 ,Central Italy,Badia di Morrona
1998,France,Château de Blagny Premier Cru,88,45 ,Northeastern France ,Louis Latour
1998,Italy,Excelsus,90,73 ,Central Italy,Castello Banfi
1998,Italy,Colvecchio,86,36 ,Central Italy,Castello Banfi
1998,Italy,Riserva,90,22 ,Central Italy,Carpineto
1998,France,Chardonnay Blanc de Blancs Brut,89,40 ,Northeastern France ,Nicolas Feuillatte
1998,France,Premier Cru Les Vergelesses,92,33 ,Northeastern France ,Laleure Piot
1998,France,Les Referts Premier Cru,92,55 ,Northeastern France ,Louis Latour
1998,France,Reserve,88,10 ,Southern France,Calvet
1998,Italy,Riserva,88,19 ,Central Italy,Val delle Rose
1998,France,Millésimé Brut,93,95 ,Northeastern France ,Henriot
1998,France,Estate Bottled,87,10 ,Central France ,Château Val Joanis
1998,France,Domaine Grand Veneur,86,9 ,Central France ,Alain Jaume et Fils
1998,France,Grand Siècle Cuvée Alexandra Rosé Brut,93,300 ,Northeastern France ,Laurent Perrier
1999,Italy,Riserva del Fondatore,93,90 ,Northeastern Italy,Giulio Ferrari
1999,Italy,Guado Al Tasso,95,80 ,Central Italy,Antinori
1999,France,Chevalier de Sterimberg,94,75 ,Central France ,Paul Jaboulet Aîné
1999,France,Reserve,84,9 ,Southern France,Marquis de Chasse
1999,Italy,Ceccante,90,43 ,Central Italy,Il Grillesino
