Vintage,Country,County,Designation,Points,Price,Province,Winery
1929,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15 ,Central Italy,Poderi dal Nespoli 1929
1945,France,Rivesaltes,Legend Vintage,95,350 ,Languedoc Roussillon,Gérard Bertrand
1989,France,Champagne,Diamant Bleu,91,70 ,Champagne,Heidsieck & Co Monopole
1990,France,Champagne,Dom Pérignon Rosé,90,290 ,Champagne,Moët & Chandon
1994,Italy,Vin Santo del Chianti Rufina,Riserva,93,140 ,Central Italy,Fattoria di Grignano
1995,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48 ,Champagne,De Saint Gall
1995,France,Champagne,Grande Cru Brut,90,60 ,Champagne,Soutiran
1995,Italy,Brunello di Montalcino,Riserva,84,56 ,Central Italy,Poggio Antico
1996,Italy,Chianti Classico,Riserva,84,18 ,Central Italy,Querceto
1996,France,Champagne,Cuvée Femme Brut,95,120 ,Champagne,Duval Leroy
1996,Italy,Chianti Classico,Riserva,83,26 ,Central Italy,Castellare
1996,Italy,Northwestern Italy,Dino Nero Spumante,90,36 ,Northwestern Italy,Bruno Giacosa
1997,Italy,Amarone della Valpolicella Classico,Morar,91,50 ,Northeastern Italy,Valentina Cubi
1997,France,Chablis,Les Blanchots,92,85 ,Burgundy,Domaine Laroche
1997,Italy,Toscana,Montepaone,89,45 ,Central Italy,Castello di Montepò
1997,Italy,Chianti Classico,Querciolo Riserva,84,22 ,Central Italy,Podere La Cappella
1997,Italy,Toscana,Selvamaggio,88,27 ,Central Italy,Villa La Selva
1997,Italy,Franciacorta,Brut Riserva,85,28 ,Northwestern Italy,Cornaleto
1997,France,Champagne,Palmes d Or,91,120 ,Champagne,Nicolas Feuillatte
1997,Italy,Brunello di Montalcino,Greppone Mazzi,90,60 ,Central Italy,Ruffino
1998,France,Costières de Nîmes,Prestige des Gibelins,88,15 ,Rhône Valley,Château Mas Neuf
1998,France,Champagne,Dom Ruinart Brut Rosé,95,275 ,Champagne,Ruinart
