Vintage;Country;County;Designation;Points;Price;Province;Winery;Colonna1
01/01/1929;Italy;Sangiovese di Romagna Superiore;Prugneto;84;15.00;Central Italy;Poderi dal Nespoli 1929;
01/01/1945;France;Rivesaltes;Legend Vintage;95;350.00;Languedoc-Roussillon;Gérard Bertrand;
01/01/1989;France;Champagne;Diamant Bleu;91;70.00;Champagne;Heidsieck & Co Monopole;
01/01/1990;France;Champagne;Dom Pérignon Rosé;90;290.00;Champagne;Moët & Chandon;
01/01/1994;Italy;Vin Santo del Chianti Rufina;Riserva;93;140.00;Tuscany;Fattoria di Grignano;
01/01/1995;France;Champagne;Premier Cru Blanc de Blancs Brut;89;48.00;Champagne;De Saint Gall;
01/01/1995;France;Champagne;Grande Cru Brut;90;60.00;Champagne;Soutiran;
01/01/1995;Italy;Brunello di Montalcino;Riserva;84;56.00;Tuscany;Poggio Antico;
01/01/1996;Italy;Chianti Classico;Riserva;84;18.00;Tuscany;Querceto;
01/01/1996;France;Champagne;Cuvée Femme Brut;95;120.00;Champagne;Duval-Leroy;
